Date,T2M
4/15/2005,31.68
5/16/2005,35.53
6/15/2005,37.88
7/16/2005,30.54
8/16/2005,29.53
9/15/2005,28.08
10/16/2005,26.51
11/15/2005,20.25
12/16/2005,16.56
1/16/2006,17.05
2/14/2006,23.50
3/16/2006,25.60
4/15/2006,32.12
5/16/2006,35.76
6/15/2006,33.43
7/16/2006,30.50
8/16/2006,29.28
9/15/2006,28.63
10/16/2006,27.27
11/15/2006,22.88
12/16/2006,18.86
1/16/2007,17.11
2/14/2007,19.90
3/16/2007,24.52
4/15/2007,33.25
5/16/2007,34.96
6/15/2007,35.84
7/16/2007,30.98
8/16/2007,29.14
9/15/2007,28.15
10/16/2007,24.30
11/15/2007,21.01
12/16/2007,16.57
1/16/2008,16.59
2/15/2008,18.42
3/16/2008,27.58
4/15/2008,32.38
5/16/2008,35.36
6/15/2008,31.83
7/16/2008,28.57
8/16/2008,28.46
9/15/2008,27.65
10/16/2008,25.53
11/15/2008,20.53
12/16/2008,17.81
1/16/2009,17.78
2/14/2009,21.10
3/16/2009,27.11
4/15/2009,32.33
5/16/2009,35.37
6/15/2009,37.36
7/16/2009,32.56
8/16/2009,30.69
9/15/2009,28.82
10/16/2009,25.01
11/15/2009,21.51
12/16/2009,17.96
1/16/2010,15.84
2/14/2010,20.36
3/16/2010,28.53
4/15/2010,34.50
5/16/2010,37.13
6/15/2010,37.78
7/16/2010,32.55
8/16/2010,29.69
9/15/2010,27.94
10/16/2010,26.12
11/15/2010,22.95
12/16/2010,17.00
1/16/2011,15.27
2/14/2011,20.55
3/16/2011,26.99
4/15/2011,31.30
5/16/2011,36.46
6/15/2011,34.17
7/16/2011,29.94
8/16/2011,28.59
9/15/2011,27.71
10/16/2011,24.83
11/15/2011,20.81
12/16/2011,16.23
1/16/2012,15.68
2/15/2012,19.18
3/16/2012,25.27
4/15/2012,31.99
5/16/2012,36.53
6/15/2012,38.22
7/16/2012,30.82
8/16/2012,28.86
9/15/2012,27.56
10/16/2012,24.85
11/15/2012,19.54
12/16/2012,16.41
1/16/2013,14.89
2/14/2013,19.45
3/16/2013,25.65
4/15/2013,31.84
5/16/2013,35.90
6/15/2013,33.13
7/16/2013,29.79
8/16/2013,29.65
9/15/2013,29.08
10/16/2013,25.23
11/15/2013,19.72
12/16/2013,16.87
1/16/2014,15.95
2/14/2014,18.17
3/16/2014,24.83
4/15/2014,32.55
5/16/2014,36.11
6/15/2014,37.82
7/16/2014,31.40
8/16/2014,29.38
9/15/2014,28.02
10/16/2014,25.60
11/15/2014,20.59
12/16/2014,15.27
1/16/2015,15.00
2/14/2015,20.50
3/16/2015,24.89
4/15/2015,30.38
5/16/2015,36.78
6/15/2015,36.95
7/16/2015,30.37
8/16/2015,29.51
9/15/2015,29.84
10/16/2015,28.21
11/15/2015,24.72
12/16/2015,18.47
1/16/2016,17.86
2/15/2016,22.59
3/16/2016,28.01
4/15/2016,34.89
5/16/2016,36.63
6/15/2016,36.51
7/16/2016,30.18
8/16/2016,28.92
9/15/2016,27.97
10/16/2016,24.53
11/15/2016,17.97
12/16/2016,15.16
1/16/2017,16.35
2/14/2017,20.36
3/16/2017,26.26
4/15/2017,34.14
5/16/2017,37.23
6/15/2017,36.68
7/16/2017,29.47
8/16/2017,28.84
9/15/2017,28.52
10/16/2017,27.44
11/15/2017,21.87
12/16/2017,18.32
1/16/2018,15.98
2/14/2018,22.15
3/16/2018,27.97
4/15/2018,32.70
5/16/2018,35.85
6/15/2018,37.09
7/16/2018,32.00
8/16/2018,29.03
9/15/2018,27.68
10/16/2018,25.77
11/15/2018,21.76
12/16/2018,16.38
1/16/2019,16.06
2/14/2019,20.65
3/16/2019,25.76
4/15/2019,33.14
5/16/2019,36.90
6/15/2019,38.05
7/16/2019,31.28
8/16/2019,29.48
9/15/2019,27.99
10/16/2019,24.30
11/15/2019,20.07
12/16/2019,13.86
1/16/2020,13.63
2/15/2020,16.79
3/16/2020,24.16
4/15/2020,30.79
5/16/2020,34.32
6/15/2020,31.30
7/16/2020,29.12
8/16/2020,28.99
9/15/2020,28.38
10/16/2020,26.73
11/15/2020,21.19
12/16/2020,17.00
1/16/2021,17.52
2/14/2021,21.52
3/16/2021,28.60
